etre
avoir
vous
aller
faire
pour
dire
pouvoir
vouloir
mais
nous
dans
elle
savoir
bien
voir
plus
avec
devoir
tout
venir
rien
comme
suivre
parler
prendre
cette
votre
quand
alors
chose
croire
aimer
falloir
tres
quoi
passer
penser
aussi
jamais
attendre
pourquoi
trouver
laisser
arriver
donner
regarder
encore
appeler
homme
partir
petit
toujours
jour
femme
temps
maintenant
notre
deux
mettre
rester
sans
arreter
vraiment
connaitre
merci
tuer
comment
mourir
demander
meme
dieu
fois
pere
comprendre
seul
quelque
sortir
trop
chez
fille
monde
vrai
autre
besoin
accord
monsieur
enfant
entendre
voila
chercher
heure
aider
mere
deja
beau
essayer
quel
juste
mieux
grand
beaucoup
revenir
donc
plaire
maison
gens
apres
nuit
personne
soir
bonjour
jouer
finir
peur
perdre
maman
sentir
ouais
rentrer
avant
probleme
argent
quelle
vivre
rendre
tenir
main
cela
vite
oublier
depuis
fils
travailler
moins
tete
coup
ecouter
raison
manger
mort
amour
entrer
devenir
hein
commencer
moment
dernier
voiture
demain
elles
payer
tirer
ouvrir
oeil
fait
changer
question
tomber
assez
foutre
excuser
affaire
dormir
combien
frere
travail
idee
famille
truc
trois
tant
premier
tous
occuper
entre
marcher
chance
envoyer
histoire
tard
apprendre
minute
boire
garder
quelques
type
porte
montrer
asseoir
porter
annee
sous
souvenir
pret
contre
prier
pendant
mois
servir
madame
putain
ecrire
part
sang
place
esperer
desoler
jeune
retrouver
ville
terre
gagner
semaine
acheter
longtemps
gars
chambre
cote
leur
vieux
rappeler
lire
seulement
voici
salut
monter
desole
quitter
police
suite
matin
emmener
toucher
continuer
gros
enfin
mari
revoir
importer
papa
puis
train
manquer
raconter
ensemble
mauvais
film
repondre
garcon
corps
celui
autres
heureux
loin
sauver
chaque
retourner
leurs
rencontrer
coeur
voler
fermer
valoir
descendre
docteur
suffire
facon
nouveau
important
sembler
compter
vers
joli
point
hier
chien
dont
guerre
genre
merde
meilleur
marier
arme
cause
endroit
ordre
poser
reste
pied
envie
tiens
inquieter
bouger
plutot
apporter
pardon
photo
plein
devant
decider
ainsi
droit
aucune
vendre
ecole
cher
chef
tourner
cacher
boulot
pays
ceux
possible
expliquer
battre
peine
livre
agir
imaginer
tour
adorer
verite
recevoir
gentil
jeter
pleurer
bebe
partie
nouvelle
amener
instant
parent
service
plaisir
promettre
mentir
soeur
bientot
tellement
utiliser
lieu
coucher
presque
dehors
preferer
content
pauvre
offrir
verre
reveiller
aucun
aide
journee
preparer
numero
permettre
ramener
enlever
cheri
fort
lacher
choisir
musique
conduire
faute
calmer
mariage
bureau
route
chanter
disparaitre
lever
presenter
accepter
sinon
long
cafe
propre
confiance
cinq
bonsoir
compte
telephone
casser
prochain
frapper
facile
attention
reve
copain
malade
lettre
ignorer
fete
couper
esprit
super
taire
seigneur
flic
parfois
capitaine
autant
force
piece
quatre
difficile
bras
tromper
surtout
ressembler
jurer
plan
prison
sale
courir
etat
remettre
carte
paix
noir
exactement
drole
refuser
president
cours
grave
terminer
ciel
partout
patron
amuser
celle
visage
interesser
reconnaitre
rire
medecin
rapport
pardonner
avis
embrasser
retour
simple
danser
exister
different
souvent
lumiere
genial
libre
pres
dollar
surement
pareil
hopital
ceci
reussir
bizarre
voix
proteger
honneur
equipe
prevenir
cheval
ailleurs
maitre
avion
bout
habiter
faim
ensuite
froid
normal
deranger
reprendre
oncle
prix
retard
detruire
cadeau
pousser
face
gueule
chemin
vivant
general
bateau
million
impossible
seconde
decouvrir
erreur
soleil
voyage
sauter
rever
detester
clair
faux
paraitre
balle
empecher
maintenir
cheveu
papier
sujet
supposer
tranquille
epouser
blanc
table
toute
agent
approcher
sens
craindre
message
crier
salle
inviter
effet
reflechir
espece
arranger
naitre
allo
passe
bois
propos
camp
sorte
hotel
debut
souffrir
jambe
remercier
choix
securite
baiser
avocat
attraper
client
courant
depecher
peuple
